jahr,kw,"substr(blv_name,1,3)",player_count
2021,19,BBB,189
2021,19,THÜ,143
2021,19,SAH,139
2021,19,SAA,103
2021,19,MVP,98
2021,19,RHL,48
2021,19,HAM,47
2021,19,BRE,24
2021,20,NRW,1050
2021,20,NIS,661
2021,20,BAW,584
2021,20,HES,529
2021,20,BAY,486
2021,20,SAC,418
2021,20,SLH,248
2021,20,RHP,192
2021,20,BBB,189
2021,20,THÜ,143
2021,20,SAH,139
2021,20,SAA,103
2021,20,MVP,98
2021,20,RHL,48
2021,20,HAM,47
2021,20,BRE,24
2021,21,NRW,1050
2021,21,NIS,661
2021,21,BAW,584
2021,21,HES,529
2021,21,BAY,486
2021,21,SAC,418
2021,21,SLH,248
2021,21,RHP,192
2021,21,BBB,189
2021,21,THÜ,143
2021,21,SAH,139
2021,21,SAA,103
2021,21,MVP,98
2021,21,RHL,48
2021,21,HAM,47
2021,21,BRE,24
2021,22,NRW,1050
2021,22,NIS,661
2021,22,BAW,584
2021,22,HES,529
2021,22,BAY,486
2021,22,SAC,418
2021,22,SLH,248
2021,22,RHP,192
2021,22,BBB,189
2021,22,THÜ,143
2021,22,SAH,139
2021,22,SAA,103
2021,22,MVP,98
2021,22,RHL,48
2021,22,HAM,47
2021,22,BRE,24
2021,23,NRW,1050
2021,23,NIS,661
2021,23,BAW,584
2021,23,HES,529
2021,23,BAY,486
2021,23,SAC,418
2021,23,SLH,248
2021,23,RHP,192
2021,23,BBB,189
2021,23,THÜ,143
2021,23,SAH,139
2021,23,SAA,103
2021,23,MVP,98
2021,23,RHL,48
2021,23,HAM,47
2021,23,BRE,24
2021,24,NRW,1050
2021,24,NIS,660
2021,24,BAW,584
2021,24,HES,529
2021,24,BAY,486
2021,24,SAC,418
2021,24,SLH,248
2021,24,RHP,192
2021,24,BBB,188
2021,24,THÜ,143
2021,24,SAH,139
2021,24,SAA,103
2021,24,MVP,98
2021,24,RHL,48
2021,24,HAM,47
2021,24,BRE,24
2021,25,NRW,1051
2021,25,NIS,662
2021,25,BAW,584
2021,25,HES,531
2021,25,BAY,486
2021,25,SAC,418
2021,25,SLH,248
2021,25,RHP,192
2021,25,BBB,190
2021,25,THÜ,143
2021,25,SAH,139
2021,25,SAA,103
2021,25,MVP,98
2021,25,RHL,48
2021,25,HAM,47
2021,25,BRE,24
2021,26,NRW,1050
2021,26,NIS,660
2021,26,BAW,584
2021,26,HES,529
2021,26,BAY,486
2021,26,SAC,420
2021,26,SLH,248
2021,26,RHP,192
2021,26,BBB,188
2021,26,THÜ,143
2021,26,SAH,139
